,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth ,Utils,Other
193404,     34.66,     51.88,     35.15,     71.37,     59.04,    612.22,     28.37,     35.44,     99.82,     30.35
193405,     35.68,     48.30,     34.24,     71.20,     57.67,    604.54,     27.91,     38.25,     95.93,     29.82
193406,     34.49,     41.82,     30.72,     67.54,     53.83,    578.52,     25.69,     37.62,     87.64,     27.58
193407,     35.15,     40.24,     32.02,     66.98,     53.94,    574.97,     25.99,     25.40,     91.03,     27.77
193408,     33.30,     34.64,     28.24,     60.43,     47.53,    549.97,     23.80,     24.91,     75.20,     22.84
193409,     34.54,     37.69,     30.25,     63.80,     50.64,    564.04,     24.81,     23.85,     75.85,     23.78
193410,     34.40,     37.93,     30.00,     62.17,     50.16,    564.28,     25.36,     23.97,     76.85,     24.26
193411,     34.52,     37.10,     29.93,     59.22,     49.69,    554.76,     25.76,     23.78,     70.87,     23.70
193412,     37.33,     43.37,     33.60,     62.93,     56.32,    545.14,     28.11,     24.46,     69.80,     24.97
193501,     36.65,     44.88,     34.26,     63.28,     57.97,    530.76,     27.64,     24.53,     63.48,     24.97
193502,     36.05,     42.59,     33.34,     60.46,     58.46,    528.30,     26.17,     24.31,     61.34,     23.23
193503,     36.45,     40.95,     32.68,     57.99,     58.57,    533.78,     25.89,     25.05,     53.19,     22.01
193504,     34.53,     39.40,     31.04,     55.73,     55.82,    518.74,     24.62,     24.18,     59.48,     20.72
193505,     36.43,     41.61,     33.73,     64.31,     63.53,    566.09,     26.19,     24.94,     65.99,     22.68
193506,     36.68,     42.54,     34.28,     66.21,     65.18,    613.53,     26.74,     23.64,     74.40,     23.48
193507,     39.34,     44.83,     35.69,     73.63,     70.34,    635.19,     28.06,     24.53,     81.05,     25.20
193508,     40.50,     53.34,     39.64,     73.67,     77.04,    671.63,     30.14,     25.30,     88.42,     26.96
193509,     40.11,     57.38,     40.81,     72.02,     79.48,    698.97,     30.96,     25.08,     94.13,     27.57
193510,     40.51,     63.72,     42.44,     69.48,     85.19,    717.72,     30.69,     25.30,     91.94,     27.61
193511,     42.25,     72.34,     44.84,     78.76,     92.55,    740.01,     31.04,     26.79,    104.72,     28.25
193512,     42.58,     73.86,     46.72,     81.94,     97.87,    811.96,     31.74,     26.97,    104.94,     31.86
193601,     43.19,     78.06,     48.30,     93.35,    100.79,    798.98,     31.25,     27.54,    110.51,     33.09
193602,     44.50,     81.02,     50.91,    108.41,    107.34,    832.25,     30.35,     28.48,    124.25,     36.93
193603,     45.01,     83.47,     53.64,    109.47,    107.57,    886.93,     30.93,     29.17,    115.43,     37.86
193604,     43.83,     91.92,     55.09,    111.28,    107.00,    846.56,     31.16,     30.14,    115.89,     36.63
193605,     41.79,     82.56,     50.07,     99.69,     97.67,    798.00,     29.92,     27.35,    105.98,     33.89
193606,     43.73,     84.60,     53.01,     98.47,    102.73,    849.55,     31.75,     28.37,    115.49,     36.31
193607,     42.81,     86.69,     51.76,     96.89,    100.91,    859.01,     33.01,     46.06,    119.91,     35.83
193608,     43.98,     90.89,     55.89,    101.39,    112.93,    880.00,     35.01,     48.19,    133.70,     39.45
193609,     44.20,     89.15,     56.66,    100.23,    115.56,    895.48,     35.71,     47.21,    131.53,     40.09
193610,     43.64,     91.96,     57.90,    101.03,    113.58,    887.05,     36.60,     47.34,    128.56,     40.61
193611,     45.02,     96.55,     62.28,    113.42,    119.84,    932.15,     40.66,     49.11,    135.69,     43.86
193612,     46.63,     93.27,     65.25,    113.78,    125.42,    968.21,     44.76,     50.45,    130.82,     43.77
193701,     45.56,     87.57,     66.19,    124.18,    128.21,    952.73,     40.38,     48.53,    128.22,     43.66
193702,     46.55,     93.92,     69.13,    127.07,    139.25,    944.66,     40.27,     50.21,    131.40,     43.99
193703,     46.77,     93.05,     70.85,    130.59,    137.25,    915.72,     41.29,     48.07,    125.12,     46.00
193704,     46.05,     89.09,     72.18,    134.99,    130.37,    885.01,     40.03,     45.40,    116.88,     47.09
193705,     43.01,     82.02,     65.46,    127.74,    120.39,    838.56,     37.00,     43.88,    107.89,     43.85
193706,     42.64,     79.30,     65.87,    126.34,    121.21,    851.39,     35.20,     44.19,    101.44,     42.26
193707,     39.71,     66.34,     61.82,    121.07,    107.43,    852.59,     34.58,     38.25,     91.99,     37.92
193708,     41.64,     75.07,     67.41,    130.99,    117.64,    880.48,     38.09,     39.82,    109.61,     41.12
193709,     40.43,     72.22,     64.19,    124.17,    111.84,    858.12,     36.27,     40.03,     97.73,     37.59
193710,     36.47,     62.94,     52.70,    107.62,     95.34,    828.72,     31.03,     35.49,     85.91,     31.45
193711,     33.82,     54.78,     45.28,    100.01,     88.34,    784.32,     28.79,     34.21,     81.40,     28.22
193712,     31.52,     44.85,     40.57,     86.90,     83.02,    756.16,     24.42,     32.13,     82.98,     25.91
193801,     30.50,     37.36,     39.25,     85.42,     80.66,    733.10,     22.46,     31.08,     73.54,     23.78
193802,     31.29,     41.49,     38.71,     85.75,     78.64,    715.24,     23.69,     32.15,     69.16,     23.82
193803,     32.19,     42.70,     41.96,     93.41,     81.93,    698.62,     25.76,     34.70,     71.00,     24.92
193804,     26.95,     31.01,     31.04,     69.73,     58.66,    565.59,     19.94,     29.46,     56.74,     17.44
193805,     30.13,     35.61,     35.45,     80.72,     68.47,    641.79,     23.36,     32.93,     64.99,     20.10
193806,     29.91,     32.90,     32.93,     75.24,     66.36,    647.12,     22.34,     33.27,     65.77,     19.23
193807,     33.24,     44.95,     41.86,     88.78,     84.31,    579.17,     27.45,     36.38,     83.24,     23.54
193808,     35.60,     53.89,     44.80,     95.20,     89.18,    586.57,     30.30,     38.47,     83.55,     26.02
193809,     34.01,     56.89,     43.86,     86.43,     88.06,    588.15,     29.37,     38.39,     78.28,     24.97
