ret_eq_sanscont;ret_mcap_sanscont;ret_eq_aveccont;ret_mcap_aveccont
-0,015718158;-0,014750247;-0,015755089;-0,013812052
0,010788603;0,0111558;0,017335047;0,016111416
0,004223463;0,002937859;0,006802145;0,005998665
0,029671976;0,033509621;0,035389234;0,039371471
0,008447195;0,00499441;0,004214502;0,002203776
-0,017445075;-0,019303238;-0,025194457;-0,024732137
0,049968797;0,04843177;0,045962243;0,045254518
0,054759266;0,04997796;0,050101523;0,04632576
-0,007546065;-0,009265534;-0,006087866;-0,007795623
0,023641491;0,025540851;0,021564202;0,022779283
0,065479451;0,065454965;0,066437612;0,067493047
-0,015600187;-0,015612394;-0,018601576;-0,017280173
0,040898313;0,039803271;0,039016788;0,040231042
0,058457879;0,060660564;0,055887019;0,058261325
0,048423472;0,048727951;0,048508535;0,049164101
0,002567278;-0,000615796;0,003760829;0,002636239
0,091559832;0,092621594;0,089994585;0,091490966
0,004764396;0,005417749;0,01015619;0,012180806
0,002876462;0,00421295;2,70E-05;0,002179062
-0,024205727;-0,025873926;-0,027335728;-0,0307221
0,023312747;0,022481233;0,02756217;0,027732275
0,035320144;0,035551519;0,038532707;0,037843863
-0,09181587;-0,093181371;-0,088888709;-0,094132524
0,005911792;0,005714994;0,004429489;0,003976906
0,031792595;0,032263024;0,037190733;0,034672928
-0,020945452;-0,021139681;-0,023488031;-0,02297819
0,085315069;0,085936071;0,075777344;0,074651167
-0,004273245;-0,005392105;0,001766473;0,000236922
0,004881252;0,00278301;0,017744345;0,017496185
-0,072171991;-0,073426437;-0,078617614;-0,080442425
-0,035015369;-0,035234315;-0,024506512;-0,02834764
0,008800927;0,008350715;0,029214919;0,024471145
0,057000919;0,05658394;0,038874768;0,042311989
0,026998679;0,025886688;0,020372292;0,025110776
0,032743688;0,032791565;0,030399202;0,029371609
0,084228898;0,084843114;0,071976494;0,071202629
0,035117673;0,035467736;0,034413135;0,034426461
-0,000663967;-0,000465985;0,000741303;0,003158702
0,02559543;0,028952306;0,01794291;0,015187449
-0,041599885;-0,0420921;-0,037292051;-0,03803017
0,054924447;0,056246005;0,050546691;0,05356835
0,031949286;0,03275474;0,025568044;0,02918005
-0,019002766;-0,019525022;-0,023555725;-0,024515483
0,023327978;0,025452199;0,015432024;0,01861946
-0,033771742;-0,032236107;-0,028123501;-0,027464256
0,124651976;0,131425437;0,118707456;0,126878105
-0,031912869;-0,03398;-0,032747906;-0,038061567
-0,000131737;-0,001889271;0,000559609;-0,0055341
-0,020587138;-0,022845597;-0,017526312;-0,019549588
0,015194423;0,007972781;0,012570877;0,004760071
0,007594844;0,006975338;0,003193406;0,004419831
-0,020396765;-0,023830095;-0,017090133;-0,019995701
0,046856661;0,047251686;0,044480688;0,044761838
-0,009163097;-0,007581475;-0,0117494;-0,010231498
0,013448975;0,011700106;0,012375275;0,014580444
0,005546189;0,00736628;0,005314798;0,008477439
0,031419344;0,033904517;0,029823873;0,030344778
0,011357765;0,010395666;0,012011471;0,011927333
0,008836538;0,006947473;0,011412275;0,006410001
0,016093711;0,011481504;0,018296307;0,015853283
0,022589288;0,022110912;0,030072276;0,029510605
-0,037577752;-0,04244469;-0,045059295;-0,049566961
0,020404241;0,021584317;0,019158616;0,019337918
0,003204464;0,00255031;0,004277352;0,004118205
0,008376289;0,008717085;0,012821519;0,013759196
0,037025301;0,038069637;0,036582826;0,038216073
-0,001337771;-0,00014517;0,005385067;0,005414543
0,011037254;0,006820027;0,014763141;0,009402211
-0,029440111;-0,02803147;-0,038308327;-0,038578559
0,006457963;0,003987921;-0,002359193;-0,00072528
0,0118312;0,01320388;0,013795953;0,015942596
-0,032425251;-0,031114123;-0,039521845;-0,038604333
-0,045116624;-0,046309546;-0,054260737;-0,054458217
0,012919328;0,011153231;0,013714002;0,013107475
-0,030438701;-0,026051242;-0,036831984;-0,030294726
-0,029432374;-0,029284901;-0,035556973;-0,035742828
0,027131689;0,027616942;0,02323082;0,024120804
0,026277792;0,029827842;0,029449812;0,033347541
-0,016602707;-0,016557831;-0,014896283;-0,016496497
0,024123168;0,024123168;0,030965024;0,029826704
-0,035694001;-0,036103122;-0,031281151;-0,035030257
0,010504195;0,011173368;0,009726684;0,011604581
